Metric,SPY,Strategy
Risk-Free Rate,5.21%,5.21%
Time in Market,65.0%,65.0%
,,
Total Return,1%,1%
CAGR% (Annual Return),42.69%,19.29%
,,
Sharpe,2.78,5.74
RoMaD,30.8,104.12
Corr to Benchmark,1.0,-0.14
Prob. Sharpe Ratio,64.92%,90.65%
Smart Sharpe,1.79,3.7
Sortino,3.89,10.77
Smart Sortino,2.51,6.95
Sortino/√2,2.75,7.62
Smart Sortino/√2,1.77,4.91
Omega,2.4,2.4
,,
Max Drawdown,-1.39%,-0.19%
Longest DD Days,3,2
Volatility (ann.),10.23%,1.97%
R^2,0.02,0.02
Information Ratio,-0.08,-0.08
Calmar,30.8,104.12
Skew,-1.39,-0.2
Kurtosis,4.3,1.21
,,
Expected Daily%,0.09%,0.04%
Expected Monthly%,1.27%,0.63%
Expected Yearly%,1.27%,0.63%
Daily Value-at-Risk,-0.79%,-0.12%
Expected Shortfall (cVaR),-0.79%,-0.12%
,,
MTD,1.27%,0.63%
3M,1.27%,0.63%
6M,1.27%,0.63%
YTD,1.27%,0.63%
1Y,1.27%,0.63%
3Y (ann.),42.69%,19.29%
5Y (ann.),42.69%,19.29%
10Y (ann.),42.69%,19.29%
All-time (ann.),42.69%,19.29%
,,
Best Day,0.95%,0.24%
Worst Day,-1.39%,-0.19%
Best Month,1.27%,0.63%
Worst Month,1.27%,0.63%
Best Year,1.27%,0.63%
Worst Year,1.27%,0.63%
,,
Avg. Drawdown,-0.84%,-0.11%
Avg. Drawdown Days,2,2
Recovery Factor,0.93,3.4
Ulcer Index,0.0,0.0
Serenity Index,-6.34,-93.88
,,
Avg. Up Month,1.27%,0.63%
Avg. Down Month,-,-
Win Days,10.89,10.89
Loss Days,3.11,3.11
Win Days%,77.78%,77.78%
Win Month%,100.0%,100.0%
Win Quarter%,100.0%,100.0%
Win Year%,100.0%,100.0%
,,
Beta,-,-0.03
Alpha,-,0.17
Correlation,-,-13.94%
Treynor Ratio,-,170.45%
