time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-02-03 09:30:00-05:00,MLTrader,81ce00e954554413863c66f823c30595,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-03 09:30:00-05:00,MLTrader,81ce00e954554413863c66f823c30595,SPY,sell,market,fill,1,gtc,0.0,1,stock,323.3500061035156,155.0,0.0
2020-02-10 09:30:00-05:00,MLTrader,f4e2925df14b46e189c6cc77680686f9,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-10 09:30:00-05:00,MLTrader,f4e2925df14b46e189c6cc77680686f9,SPY,sell,market,fill,1,gtc,0.0,1,stock,331.2300109863281,151.0,0.0
2020-02-13 09:30:00-05:00,MLTrader,a8531de23bbf45cc93a3dd69de4e9318,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-13 09:30:00-05:00,MLTrader,a8531de23bbf45cc93a3dd69de4e9318,SPY,sell,market,fill,1,gtc,0.0,1,stock,335.8599853515625,149.0,0.0
2020-03-06 09:30:00-05:00,MLTrader,fd19acf2bcfd4db0bf8e5bf3abb1afef,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-03-06 09:30:00-05:00,MLTrader,fd19acf2bcfd4db0bf8e5bf3abb1afef,SPY,sell,market,fill,1,gtc,0.0,1,stock,293.1499938964844,171.0,0.0
2020-03-09 10:30:00-04:00,MLTrader,9ccf058636414fd58fe27bbc9d9c7d87,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-03-09 10:30:00-04:00,MLTrader,9ccf058636414fd58fe27bbc9d9c7d87,SPY,sell,market,fill,1,gtc,0.0,1,stock,275.29998779296875,182.0,0.0
2020-03-12 10:30:00-04:00,MLTrader,925143fd5e6b4041a562932c8a7a3d26,SPY,buy_to_close,stop,canceled,1,day,0.0,1,stock,,,
2020-03-12 10:30:00-04:00,MLTrader,218e96d1c2454cf0925c031fac4f9c5e,SPY,buy_to_close,limit,fill,1,day,0.0,1,stock,256.0,155.0,0.0
2020-03-12 10:30:00-04:00,MLTrader,d13c872a0d954b50b334de31292597c0,SPY,buy_to_close,stop,canceled,1,day,0.0,1,stock,,,
2020-03-12 10:30:00-04:00,MLTrader,4627163bc6db4a6fb1c618f7d61fac7e,SPY,buy_to_close,limit,fill,1,day,0.0,1,stock,256.0,151.0,0.0
2020-03-12 10:30:00-04:00,MLTrader,bb8da3d8754b4bd3a80b5c1a0499c0c8,SPY,buy_to_close,stop,canceled,1,day,0.0,1,stock,,,
2020-03-12 10:30:00-04:00,MLTrader,fa1f2c5c3ed44db6a21528d2ae3ab6e0,SPY,buy_to_close,limit,fill,1,day,0.0,1,stock,256.0,149.0,0.0
2020-03-18 10:30:00-04:00,MLTrader,ff7908c98fac45d3a8742cce7c9ca8ec,SPY,buy_to_close,stop,canceled,1,day,0.0,1,stock,,,
2020-03-18 10:30:00-04:00,MLTrader,52a0cdc382c14eaaa304ac31a3fd05f0,SPY,buy_to_close,limit,fill,1,day,0.0,1,stock,234.5199951171875,171.0,0.0
2020-03-23 10:30:00-04:00,MLTrader,58e96953038c4d7cbe067f102506b859,SPY,buy_to_close,stop,canceled,1,day,0.0,1,stock,,,
2020-03-23 10:30:00-04:00,MLTrader,d6b2ee8b34014accb17d4b412dc2be35,SPY,buy_to_close,limit,fill,1,day,0.0,1,stock,220.239990234375,182.0,0.0
2020-04-13 10:30:00-04:00,MLTrader,ace26d25f1a3490e916d43a367fe6c30,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-04-13 10:30:00-04:00,MLTrader,ace26d25f1a3490e916d43a367fe6c30,SPY,sell,market,fill,1,gtc,0.0,1,stock,277.1400146484375,180.0,0.0
2020-04-27 10:30:00-04:00,MLTrader,e42cbfee5b1248708b2253c2f66309e7,SPY,buy_to_close,limit,canceled,1,day,0.0,1,stock,,,
2020-04-27 10:30:00-04:00,MLTrader,bc520d2ca33c44fb979466e745649c57,SPY,buy_to_close,stop,canceled,1,day,0.0,1,stock,,,
2020-04-27 10:30:00-04:00,MLTrader,ace26d25f1a3490e916d43a367fe6c30,SPY,sell,market,fill,1,gtc,0.0,1,stock,,,0.0
2020-04-27 10:30:00-04:00,MLTrader,e42cbfee5b1248708b2253c2f66309e7,SPY,buy_to_close,limit,canceled,1,day,0.0,1,stock,,,
2020-04-27 10:30:00-04:00,MLTrader,bc520d2ca33c44fb979466e745649c57,SPY,buy_to_close,stop,canceled,1,day,0.0,1,stock,,,
2020-04-27 10:30:00-04:00,MLTrader,95e8d4f682254741a2b034490820eb40,SPY,buy,market,new,1,day,0.0,1,stock,,,
2020-04-27 10:30:00-04:00,MLTrader,7dc851e64da64c8ea4bfd744c3e268d1,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-04-27 10:30:00-04:00,MLTrader,95e8d4f682254741a2b034490820eb40,SPY,buy,market,fill,1,day,0.0,1,stock,285.1199951171875,1796.0,0.0
2020-04-27 10:30:00-04:00,MLTrader,7dc851e64da64c8ea4bfd744c3e268d1,SPY,buy,market,fill,1,gtc,0.0,1,stock,285.1199951171875,175.0,0.0
2020-08-24 10:30:00-04:00,MLTrader,4662ebddf6174593a3a494a076269b8b,SPY,sell_to_close,stop,canceled,1,day,0.0,1,stock,,,
2020-08-24 10:30:00-04:00,MLTrader,794e9e85561648d4a31736aac304d32e,SPY,sell_to_close,limit,fill,1,day,0.0,1,stock,342.143994140625,175.0,0.0
